Program Name,Date,Number of Applicants,Number of Enrolled,Region,Revenue
AI Strategy & Leadership,2021-01-15,45,32,North America,128000
Financial Acumen for Executives,2021-01-20,38,28,North America,98000
Digital Transformation Leadership,2021-02-10,52,35,Europe,140000
Strategic Innovation Workshop,2021-02-18,29,22,Asia Pacific,88000
Change Management Mastery,2021-03-05,41,30,North America,105000
Data-Driven Decision Making,2021-03-22,33,25,Europe,87500
Leading Hybrid Teams,2021-04-12,47,34,North America,119000
Executive Negotiation Skills,2021-04-28,36,27,Asia Pacific,94500
AI Strategy & Leadership,2021-05-15,48,35,Europe,140000
Financial Acumen for Executives,2021-06-03,42,31,Asia Pacific,108500
Digital Transformation Leadership,2021-06-20,55,38,North America,152000
Strategic Innovation Workshop,2021-07-08,31,24,Europe,96000
Change Management Mastery,2021-07-25,44,32,Asia Pacific,112000
Data-Driven Decision Making,2021-08-14,35,26,North America,91000
Leading Hybrid Teams,2021-09-02,50,36,Europe,126000
Executive Negotiation Skills,2021-09-20,39,29,North America,101500
AI Strategy & Leadership,2021-10-10,51,37,Asia Pacific,148000
Financial Acumen for Executives,2021-10-28,40,30,Europe,105000
Digital Transformation Leadership,2021-11-15,58,40,Asia Pacific,160000
Strategic Innovation Workshop,2021-12-05,28,21,North America,84000
Change Management Mastery,2022-01-18,46,33,Europe,115500
Data-Driven Decision Making,2022-02-08,37,28,Asia Pacific,98000
Leading Hybrid Teams,2022-02-25,53,38,North America,133000
Executive Negotiation Skills,2022-03-15,41,31,Europe,108500
AI Strategy & Leadership,2022-04-05,62,45,North America,180000
Financial Acumen for Executives,2022-04-22,55,40,Asia Pacific,140000
Digital Transformation Leadership,2022-05-12,71,50,Europe,200000
Strategic Innovation Workshop,2022-06-02,42,32,North America,128000
Change Management Mastery,2022-06-20,49,35,Asia Pacific,122500
Data-Driven Decision Making,2022-07-10,45,34,Europe,119000
Leading Hybrid Teams,2022-07-28,58,42,North America,147000
Executive Negotiation Skills,2022-08-15,48,36,Asia Pacific,126000
AI Strategy & Leadership,2022-09-05,68,49,Europe,196000
Financial Acumen for Executives,2022-09-22,58,42,North America,147000
Digital Transformation Leadership,2022-10-12,75,52,Asia Pacific,208000
Strategic Innovation Workshop,2022-11-02,38,29,Europe,116000
Change Management Mastery,2022-11-20,52,37,North America,129500
Data-Driven Decision Making,2022-12-10,48,36,Asia Pacific,126000
Leading Hybrid Teams,2023-01-15,61,44,Europe,154000
Executive Negotiation Skills,2023-02-05,51,38,North America,133000
AI Strategy & Leadership,2023-02-25,74,53,Asia Pacific,212000
Financial Acumen for Executives,2023-03-15,62,45,Europe,157500
Digital Transformation Leadership,2023-04-05,82,58,North America,232000
Strategic Innovation Workshop,2023-04-25,45,34,Asia Pacific,136000
Change Management Mastery,2023-05-15,55,39,Europe,136500
Data-Driven Decision Making,2023-06-05,52,39,North America,136500
Leading Hybrid Teams,2023-06-25,65,47,Asia Pacific,164500
Executive Negotiation Skills,2023-07-15,54,40,Europe,140000
AI Strategy & Leadership,2023-08-05,79,56,North America,224000
Financial Acumen for Executives,2023-08-25,66,48,Asia Pacific,168000
Digital Transformation Leadership,2023-09-15,88,62,Europe,248000
Strategic Innovation Workshop,2023-10-05,35,26,North America,104000
Change Management Mastery,2023-10-25,58,41,Asia Pacific,143500
Data-Driven Decision Making,2023-11-15,55,41,Europe,143500
Leading Hybrid Teams,2023-12-05,68,49,North America,171500
Executive Negotiation Skills,2023-12-25,57,42,Asia Pacific,147000
AI Strategy & Leadership,2024-01-20,85,60,Europe,240000
Financial Acumen for Executives,2024-02-10,70,51,North America,178500
Digital Transformation Leadership,2024-03-05,95,67,Asia Pacific,268000
Strategic Innovation Workshop,2024-03-25,52,39,Europe,156000
Change Management Mastery,2024-04-15,61,43,North America,150500
Data-Driven Decision Making,2024-05-05,58,43,Asia Pacific,150500
Leading Hybrid Teams,2024-05-25,72,52,Europe,182000
Executive Negotiation Skills,2024-06-15,60,44,North America,154000
AI Strategy & Leadership,2024-07-10,90,63,Asia Pacific,252000
Financial Acumen for Executives,2024-08-01,74,54,Europe,189000
Digital Transformation Leadership,2024-08-20,102,72,North America,288000
Strategic Innovation Workshop,2024-09-10,41,31,Asia Pacific,124000
Change Management Mastery,2024-09-30,64,45,Europe,157500
Data-Driven Decision Making,2024-10-20,61,45,North America,157500
Leading Hybrid Teams,2024-11-10,75,54,Asia Pacific,189000
